timestamp,measured_x,measured_y,measured_z,reference_x,reference_y,reference_z,traps_x,traps_y,traps_z,theta
5.029175,1.215,39.501,122.05,0,42.2172264,122.5457006,0,40.5136738,122.5078667,0.0742895
4.929199,1.221,39.481,122.064,0,42.2128927,122.5695651,0,40.5093001,122.5314406,0.0748573
27.033325,1.398,39.895,122.139,0,42.2128927,122.5695651,0,40.5093001,122.5314406,0.0748573
4.729248,1.321,39.737,122.131,0,42.2085262,122.5934263,0,40.5048932,122.555011,0.0754252
4.62915,1.408,39.771,122.189,0,42.1996941,122.6411383,0,40.4959795,122.6021415,0.0765609
4.329224,1.238,39.737,122.212,0,42.1952287,122.6649891,0,40.4914727,122.6257015,0.0771288
4.529175,1.324,39.656,122.212,0,42.1907303,122.6888365,0,40.4869327,122.649258,0.0776967
4.429199,1.32,39.637,122.289,0,42.1724072,122.7841904,0,40.4684398,122.743448,0.0799685
4.229248,1.261,39.418,122.277,0,42.167744,122.8080199,0,40.4637334,122.7669864,0.0805365
4.12915,1.161,39.284,122.355,0,42.1439338,122.9271121,0,40.4397024,122.8846225,0.0833767
4.029175,1.227,39.353,122.381,0,42.1390729,122.9509193,0,40.4347964,122.9081384,0.0839448
3.929199,1.265,39.362,122.437,0,42.1242925,123.0223181,0,40.4198787,122.9786629,0.0856493
26.133301,1.344,39.618,122.503,0,42.1242925,123.0223181,0,40.4198787,122.9786629,0.0856493
3.829224,1.227,39.501,122.498,0,42.1192997,123.0461099,0,40.4148396,123.0021632,0.0862174
3.729248,1.291,39.616,122.536,0,42.1142741,123.0698979,0,40.4097672,123.0256596,0.0867856
26.033325,1.388,39.508,122.542,0,42.1092154,123.0936819,0,40.4046616,123.049152,0.0873539
25.93335,1.346,39.542,122.54,0,42.1092154,123.0936819,0,40.4046616,123.049152,0.0873539
3.62915,1.327,39.579,122.56,0,42.1092154,123.0936819,0,40.4046616,123.049152,0.0873539
3.529175,1.243,39.471,122.611,0,42.0886514,123.1887782,0,40.3839062,123.1430813,0.0896269
3.429199,1.205,39.502,122.617,0,42.0886514,123.1887782,0,40.3839062,123.1430813,0.0896269
3.329224,1.233,39.46,122.704,0,42.06756,123.2838095,0,40.3626184,123.2369449,0.0919003
25.733398,1.371,39.29,122.678,0,42.0622048,123.3075569,0,40.3572133,123.2604004,0.0924687
25.633301,1.411,39.338,122.701,0,42.0622048,123.3075569,0,40.3572133,123.2604004,0.0924687
25.533325,1.442,39.404,122.73,0,42.0568166,123.3313002,0,40.3517749,123.2838516,0.0930371
3.229248,1.189,39.493,122.744,0,42.0568166,123.3313002,0,40.3517749,123.2838516,0.0930371
25.43335,1.395,39.349,122.768,0,42.0404543,123.4025047,0,40.33526,123.3541795,0.0947425
3.12915,1.389,39.407,122.805,0,42.0349343,123.426231,0,40.3296884,123.3776135,0.095311
3.029175,1.417,39.371,122.846,0,42.0237954,123.4736705,0,40.3184456,123.4244683,0.0964481
25.333374,1.35,39.292,122.853,0,42.0181766,123.4973838,0,40.3127742,123.4478891,0.0970166
2.929199,1.381,39.508,122.911,0,42.0181766,123.4973838,0,40.3127742,123.4478891,0.0970166
24.93335,1.496,39.462,122.908,0,42.0125248,123.5210926,0,40.3070696,123.4713054,0.0975852
27.93335,1.021,39.464,122.917,0,42.0125248,123.5210926,0,40.3070696,123.4713054,0.0975852
25.033325,1.481,39.487,122.921,0,42.0125248,123.5210926,0,40.3070696,123.4713054,0.0975852
25.233398,1.306,39.144,122.864,0,42.00684,123.5447971,0,40.3013317,123.4947173,0.0981538
2.729248,1.313,39.486,122.976,0,41.9953716,123.5921925,0,40.289756,123.5415275,0.0992911
2.829224,1.481,39.506,122.977,0,41.9953716,123.5921925,0,40.289756,123.5415275,0.0992911
27.833374,1.054,39.38,122.971,0,41.9895879,123.6158835,0,40.2839182,123.5649258,0.0998598
24.833374,1.43,39.454,122.989,0,41.9895879,123.6158835,0,40.2839182,123.5649258,0.0998598
24.43335,1.353,39.367,123.025,0,41.9779218,123.6632519,0,40.2721429,123.6117087,0.1009972
25.133301,1.371,39.19,122.984,0,41.9720393,123.6869293,0,40.2662053,123.6350931,0.101566
2.529175,1.343,39.64,123.11,0,41.9720393,123.6869293,0,40.2662053,123.6350931,0.101566
24.633301,1.472,39.216,123.04,0,41.9601754,123.7342701,0,40.2542303,123.6818481,0.1027035
24.333374,1.213,39.406,123.099,0,41.9601754,123.7342701,0,40.2542303,123.6818481,0.1027035
24.533325,1.428,39.203,123.069,0,41.954194,123.7579336,0,40.2481928,123.7052185,0.1032723
2.429199,1.302,39.507,123.165,0,41.9481797,123.7815923,0,40.2421221,123.7285842,0.1038412
2.329224,1.396,39.45,123.163,0,41.9421324,123.8052464,0,40.2360181,123.7519451,0.10441
24.133301,1.33,39.591,123.204,0,41.9421324,123.8052464,0,40.2360181,123.7519451,0.10441
24.233398,1.308,39.384,123.186,0,41.929939,123.8525403,0,40.2237102,123.7986526,0.1055478
2.12915,1.683,39.09,123.182,0,41.9114017,123.9234452,0,40.2049988,123.8686774,0.1072547
24.033325,1.391,39.437,123.325,0,41.8988787,123.9706909,0,40.1923581,123.915336,0.1083927
2.229248,1.48,39.169,123.26,0,41.8925678,123.9943063,0,40.1859879,123.9386579,0.1089617
4.829224,1.142,39.152,123.281,0,41.8862239,124.0179169,0,40.1795843,123.9619748,0.1095308
23.93335,1.456,39.459,123.443,0,41.8605189,124.1123091,0,40.1536372,124.0551918,0.1118073
23.833374,1.464,39.515,123.464,0,41.8605189,124.1123091,0,40.1536372,124.0551918,0.1118073
23.733398,1.457,39.492,123.527,0,41.8408941,124.1830501,0,40.1338274,124.1250507,0.113515
1.929199,1.47,39.11,123.462,0,41.8276461,124.230185,0,40.1204544,124.1715974,0.1146536
23.633301,1.368,39.352,123.528,0,41.8276461,124.230185,0,40.1204544,124.1715974,0.1146536
23.533325,1.384,39.31,123.55,0,41.8209727,124.2537447,0,40.113718,124.1948628,0.1152229
1.829224,1.255,38.96,123.457,0,41.8142663,124.2772992,0,40.1069483,124.2181229,0.1157922
1.529175,1.298,39.142,123.516,0,41.8142663,124.2772992,0,40.1069483,124.2181229,0.1157922
1.62915,1.23,39.022,123.504,0,41.807527,124.3008484,0,40.1001453,124.2413778,0.1163616
1.329224,1.326,39.153,123.529,0,41.807527,124.3008484,0,40.1001453,124.2413778,0.1163616
1.729248,1.268,38.986,123.523,0,41.8007547,124.3243923,0,40.093309,124.2646273,0.116931
1.229248,1.228,38.953,123.579,0,41.773336,124.4185148,0,40.0656309,124.3575713,0.1192089
25.833374,1.198,39.171,123.7,0,41.7594289,124.4655436,0,40.0515921,124.4040105,0.120348
23.033325,1.192,39.052,123.675,0,41.752426,124.4890499,0,40.0445228,124.4272219,0.1209175
22.93335,1.155,39.036,123.739,0,41.7312193,124.5595356,0,40.023115,124.4968226,0.1226265
0.529175,1.302,39.318,123.826,0,41.7312193,124.5595356,0,40.023115,124.4968226,0.1226265
0.429199,1.132,39.416,123.876,0,41.7240846,124.5830197,0,40.0159125,124.5200116,0.1231962
22.833374,1.121,39.015,123.771,0,41.7169168,124.6064983,0,40.0086767,124.5431949,0.1237659
45.737549,1.371,38.912,123.759,0,41.7097161,124.6299712,0,40.0014076,124.5663725,0.1243356
1.029175,1.083,38.939,123.782,0,41.7097161,124.6299712,0,40.0014076,124.5663725,0.1243356
45.637573,1.332,39.024,123.798,0,41.7097161,124.6299712,0,40.0014076,124.5663725,0.1243356
45.537476,1.303,39.086,123.85,0,41.7024825,124.6534385,0,39.9941052,124.5895445,0.1249054
45.4375,1.388,39.158,123.861,0,41.7024825,124.6534385,0,39.9941052,124.5895445,0.1249054
0.929199,1.128,39.185,123.886,0,41.7024825,124.6534385,0,39.9941052,124.5895445,0.1249054
0.829224,1.263,39.195,123.885,0,41.7024825,124.6534385,0,39.9941052,124.5895445,0.1249054
22.733398,1.035,39.08,123.856,0,41.6952159,124.6769002,0,39.9867695,124.6127107,0.1254752
22.633301,1.115,39.132,123.871,0,41.6952159,124.6769002,0,39.9867695,124.6127107,0.1254752
0.62915,1.245,39.18,123.897,0,41.6952159,124.6769002,0,39.9867695,124.6127107,0.1254752
0.729248,1.196,39.3,123.951,0,41.6879163,124.7003561,0,39.9794006,124.6358711,0.126045
45.837524,1.409,38.588,123.757,0,41.6805838,124.7238063,0,39.9719983,124.6590258,0.1266149
45.337524,1.414,39.076,123.914,0,41.6805838,124.7238063,0,39.9719983,124.6590258,0.1266149
22.533325,1.086,39.122,123.941,0,41.6732183,124.7472508,0,39.9645627,124.6821746,0.1271848
45.037476,1.339,39.462,124.091,0,41.6583885,124.7941223,0,39.9495917,124.7284547,0.1283247
22.43335,1.055,39.085,123.996,0,41.6509242,124.8175494,0,39.9420562,124.7515859,0.1288946
22.333374,1.096,39.062,124.016,0,41.6434269,124.8409706,0,39.9344875,124.7747112,0.1294646
45.137573,1.249,39.235,124.071,0,41.6434269,124.8409706,0,39.9344875,124.7747112,0.1294646
22.233398,1.106,39.033,124.061,0,41.6207373,124.9111989,0,39.9115814,124.8440513,0.1311748
44.9375,1.308,39.085,124.082,0,41.6207373,124.9111989,0,39.9115814,124.8440513,0.1311748
24.733398,1.35,39.158,124.12,0,41.6207373,124.9111989,0,39.9115814,124.8440513,0.1311748
44.737549,1.332,39.084,124.132,0,41.6054461,124.9579879,0,39.8961442,124.890248,0.1323151
45.237549,1.225,38.732,124.06,0,41.5900231,125.004753,0,39.8805738,124.9364203,0.1334555
44.837524,1.365,38.994,124.151,0,41.5900231,125.004753,0,39.8805738,124.9364203,0.1334555
22.133301,1.163,38.81,124.105,0,41.5822622,125.0281265,0,39.8727387,124.9594973,0.1340257
22.033325,1.192,38.732,124.166,0,41.550889,125.1215591,0,39.841065,125.0517433,0.136307
21.93335,1.216,38.81,124.202,0,41.550889,125.1215591,0,39.841065,125.0517433,0.136307
44.637573,1.268,38.862,124.215,0,41.550889,125.1215591,0,39.841065,125.0517433,0.136307
21.833374,1.28,38.94,124.242,0,41.550889,125.1215591,0,39.841065,125.0517433,0.136307
44.537476,1.284,38.839,124.221,0,41.5429633,125.1449019,0,39.8330634,125.0747892,0.1368774
21.733398,1.275,38.849,124.284,0,41.5189884,125.2148927,0,39.8088585,125.143889,0.1385888
21.633301,1.229,38.905,124.364,0,41.5028404,125.2615218,0,39.7925555,125.1899238,0.1397298
44.4375,1.23,38.789,124.335,0,41.494717,125.2848269,0,39.784354,125.2129315,0.1403004
44.337524,1.263,38.886,124.369,0,41.494717,125.2848269,0,39.784354,125.2129315,0.1403004
21.533325,1.234,38.923,124.386,0,41.494717,125.2848269,0,39.784354,125.2129315,0.1403004
