timestamp,bead_x,bead_y,bead_z
171.099976,-0.001216,-0.039385,0.10237
171.104248,-0.00099,-0.040967,0.108557
171.108398,-0.001387,-0.042486,0.120432
171.112549,-0.001252,-0.039236,0.132811
171.116699,-0.000955,-0.039274,0.1403
171.12085,-0.00133,-0.041887,0.140561
171.125,-0.001035,-0.038331,0.134793
171.12915,-0.000568,-0.030299,0.125507
171.133301,-0.000735,-0.021012,0.115298
171.137573,-0.000198,-0.006987,0.106582
171.141724,0.000461,0.008767,0.101533
171.145874,0.001028,0.020047,0.101711
171.150024,0.001285,0.031005,0.105559
171.154175,0.001238,0.039604,0.112032
171.158325,0.001306,0.040568,0.119631
171.162476,0.001479,0.037483,0.127279
171.166748,0.001192,0.034404,0.134192
171.170898,0.000789,0.025704,0.139157
171.175049,0.000677,0.010673,0.140426
171.179199,0.000131,-0.003204,0.137143
171.18335,-0.000433,-0.015098,0.129384
171.1875,-0.000682,-0.029089,0.119711
171.19165,-0.001216,-0.038745,0.110199
171.195801,-0.001502,-0.04109,0.103753
171.200073,-0.000976,-0.03938,0.102475
171.204224,-0.000905,-0.0411,0.108645
171.208374,-0.001552,-0.042274,0.120483
171.212524,-0.001179,-0.039048,0.132895
171.216675,-0.000739,-0.039508,0.140367
171.220825,-0.001422,-0.041893,0.140659
171.224976,-0.001122,-0.038138,0.134873
171.229248,-0.000312,-0.030354,0.125669
171.233398,-0.000661,-0.02114,0.115425
171.237549,-0.00032,-0.006908,0.106667
171.241699,0.000604,0.008835,0.101528
171.24585,0.000942,0.019742,0.101645
171.25,0.001123,0.03104,0.105474
171.25415,0.001383,0.03992,0.111976
171.258301,0.001244,0.040893,0.119671
171.262573,0.001369,0.03734,0.12728
171.266724,0.001395,0.034411,0.134169
171.270874,0.000832,0.026266,0.139193
171.275024,0.000575,0.010996,0.140451
171.279175,0.000317,-0.003496,0.137128
171.283325,-0.000337,-0.014841,0.129343
171.287476,-0.000737,-0.028858,0.11963
171.291748,-0.000887,-0.039268,0.110034
171.295898,-0.001158,-0.042102,0.103494
171.300049,-0.001163,-0.039465,0.102227
171.304199,-0.000912,-0.040115,0.1083
171.30835,-0.001078,-0.042398,0.120248
171.3125,-0.0012,-0.039789,0.132699
171.31665,-0.000955,-0.038911,0.14018
171.320801,-0.001092,-0.041413,0.140587
171.325073,-0.000898,-0.03877,0.134868
171.329224,-0.000523,-0.030641,0.125654
171.333374,-0.000536,-0.020489,0.115378
171.337524,-0.000133,-0.007115,0.106629
171.341675,0.000529,0.008355,0.101524
171.345825,0.000852,0.020113,0.101625
171.349976,0.001123,0.031055,0.105515
171.354248,0.001356,0.039418,0.111974
171.358398,0.001122,0.04052,0.119562
171.362549,0.001361,0.037696,0.127172
171.366699,0.001387,0.034657,0.134002
171.37085,0.000748,0.026072,0.139075
171.375,0.000656,0.011091,0.140435
171.37915,0.000312,-0.003456,0.137196
171.383301,-0.000275,-0.014477,0.129282
171.387573,-0.000748,-0.028714,0.119632
171.391724,-0.000957,-0.039512,0.110013
171.395874,-0.001127,-0.042695,0.103418
171.400024,-0.001108,-0.039947,0.102196
171.404175,-0.000929,-0.039412,0.108152
171.408325,-0.001078,-0.042254,0.120371
171.412476,-0.001142,-0.040677,0.133077
171.416748,-0.000984,-0.038689,0.140439
171.420898,-0.001072,-0.040599,0.140659
171.425049,-0.000862,-0.038851,0.134823
171.429199,-0.000536,-0.031046,0.125565
171.43335,-0.000566,-0.019871,0.115299
171.4375,-0.00006,-0.006484,0.106465
171.44165,0.00051,0.008393,0.101384
171.445801,0.000812,0.02021,0.101569
171.450073,0.001202,0.032003,0.105592
171.454224,0.001203,0.0394,0.112118
171.458374,0.001082,0.039447,0.119586
171.462524,0.001338,0.037984,0.127243
171.466675,0.001277,0.035465,0.133957
171.470825,0.000754,0.026544,0.138815
171.474976,0.000874,0.015323,0.140838
171.479248,0.000669,0.006038,0.139802
171.483398,-0.000029,-0.006055,0.135928
171.487549,-0.000159,-0.017248,0.129815
171.491699,-0.000444,-0.025312,0.122359
171.49585,-0.000982,-0.032732,0.11506
171.5,-0.001159,-0.038695,0.108622
171.50415,-0.000951,-0.04123,0.104002
171.508301,-0.00097,-0.041766,0.101571
171.512573,-0.001104,-0.04243,0.102007
171.516724,-0.000944,-0.042027,0.10497
171.520874,-0.001058,-0.040367,0.109972
171.525024,-0.001298,-0.03951,0.116428
171.529175,-0.001039,-0.039988,0.123382
171.533325,-0.000799,-0.040138,0.130034
171.537476,-0.00115,-0.040278,0.135764
